sample_id,subject,word,sentence_id,word_id
0,YAC,Henry,0,0
1,YAC,"Ford,",0,1
2,YAC,with,0,2
3,YAC,son,0,4
4,YAC,"Edsel,",0,5
5,YAC,founded,0,6
6,YAC,Ford,0,8
7,YAC,Foundation,0,9
8,YAC,in,0,10
9,YAC,1936,0,11
10,YAC,local,0,14
11,YAC,philanthropic,0,15
12,YAC,organization,0,16
13,YAC,broad,0,19
14,YAC,charter,0,20
15,YAC,promote,0,22
16,YAC,human,0,23
17,YAC,welfare.,0,24
18,YAC,this,1,1
19,YAC,initial,1,2
20,YAC,"success,",1,3
21,YAC,Ford,1,4
22,YAC,left,1,5
23,YAC,Edison,1,6
24,YAC,Illuminating,1,7
25,YAC,"and,",1,8
26,YAC,with,1,9
27,YAC,other,1,10
28,YAC,"investors,",1,11
29,YAC,formed,1,12
30,YAC,Detroit,1,14
31,YAC,Automobile,1,15
32,YAC,Company.,1,16
33,YAC,With,2,0
34,YAC,his,2,1
35,YAC,interest,2,2
36,YAC,race,2,4
37,YAC,"cars,",2,5
38,YAC,formed,2,7
39,YAC,second,2,9
40,YAC,"company,",2,10
41,YAC,Henry,2,12
42,YAC,Ford,2,13
43,YAC,Company.,2,14
44,YAC,During,3,0
45,YAC,this,3,1
46,YAC,"period,",3,2
47,YAC,personally,3,4
48,YAC,drove,3,5
49,YAC,his,3,6
50,YAC,Quadricycle,3,7
51,YAC,victory,3,9
52,YAC,a,3,11
53,YAC,race,3,12
54,YAC,against,3,13
55,YAC,Alexander,3,14
56,YAC,"Winton,",3,15
57,YAC,well-known,3,17
58,YAC,driver,3,18
59,YAC,heavy,3,21
60,YAC,favorite,3,22
61,YAC,on,3,23
62,YAC,October,3,24
63,YAC,"10,",3,25
64,YAC,1901.,3,26
65,YAC,Ford,4,0
66,YAC,was,4,1
67,YAC,forced,4,2
68,YAC,of,4,4
69,YAC,the,4,5
70,YAC,company,4,6
71,YAC,by,4,7
72,YAC,"investors,",4,9
73,YAC,including,4,10
74,YAC,Henry,4,11
75,YAC,M.,4,12
76,YAC,Leland,4,13
77,YAC,in,4,14
78,YAC,"1902,",4,15
79,YAC,and,4,16
80,YAC,company,4,18
81,YAC,reorganized,4,20
82,YAC,Cadillac.,4,22
83,YAC,"1891,",5,1
84,YAC,Ford,5,2
85,YAC,became,5,3
86,YAC,an,5,4
87,YAC,engineer,5,5
88,YAC,with,5,6
89,YAC,the,5,7
90,YAC,Edison,5,8
91,YAC,Illuminating,5,9
92,YAC,"Company,",5,10
93,YAC,after,5,12
94,YAC,promotion,5,14
95,YAC,Chief,5,16
96,YAC,Engineer,5,17
97,YAC,"1893,",5,19
98,YAC,had,5,21
99,YAC,enough,5,22
100,YAC,and,5,24
101,YAC,money,5,25
102,YAC,devote,5,27
103,YAC,attention,5,28
104,YAC,personal,5,31
105,YAC,experiments,5,32
106,YAC,internal,5,34
107,YAC,combustion,5,35
108,YAC,engines.,5,36
109,YAC,experiments,6,1
110,YAC,culminated,6,2
111,YAC,1896,6,4
112,YAC,the,6,6
113,YAC,completion,6,7
114,YAC,his,6,9
115,YAC,own,6,10
116,YAC,self-propelled,6,11
117,YAC,vehicle,6,12
118,YAC,named,6,13
119,YAC,the,6,14
120,YAC,"Quadricycle,",6,15
121,YAC,Ford,7,0
122,YAC,was,7,1
123,YAC,born,7,2
124,YAC,on,7,3
125,YAC,prosperous,7,5
126,YAC,farm,7,6
127,YAC,Springwells,7,8
128,YAC,Township,7,9
129,YAC,"Dearborn,",7,15
130,YAC,Michigan),7,16
131,YAC,"parents,",7,20
132,YAC,William,7,21
133,YAC,Ford,7,22
134,YAC,(1826-1905),7,23
135,YAC,Mary,7,25
136,YAC,Litogot,7,26
137,YAC,"(c1839-1876),",7,27
138,YAC,County,7,30
139,YAC,"Cork,",7,31
140,YAC,Ireland.,7,32
141,YAC,the,8,1
142,YAC,years,8,2
143,YAC,between,8,3
144,YAC,"wars,",8,5
145,YAC,Henry,8,6
146,YAC,Ford,8,7
147,YAC,supported,8,8
148,YAC,Adolf,8,9
149,YAC,Hitler's,8,10
150,YAC,Nazi,8,11
151,YAC,regime.,8,12
152,YAC,is,9,1
153,YAC,also,9,2
154,YAC,some,9,3
155,YAC,evidence,9,4
156,YAC,Henry,9,6
157,YAC,gave,9,8
158,YAC,Adolf,9,9
159,YAC,Hitler,9,10
160,YAC,direct,9,11
161,YAC,financial,9,12
162,YAC,backing,9,13
163,YAC,Hitler,9,15
164,YAC,was,9,16
165,YAC,first,9,17
166,YAC,starting,9,18
167,YAC,out,9,19
168,YAC,politics.,9,21
169,YAC,can,10,1
170,YAC,part,10,3
